No,,0,1,2,3,경도,위도,상태
297,296,갈매점,"경기도 구리시 갈애순환로 198, 1층 101호(갈매동, 비젼프라자)",경기도,031-527-9258,?,?,실패
337,336,대구옥포돌미점,대구시 달성군 옥포면 돌미상업로2길 26,대구광역시,053-615-9986,?,?,실패
344,343,중동점,경기도 부천시 원미구 부흥로 272번길 22,경기도,032-321-7636,?,?,실패
363,362,천리점,경기도 용인시 이동면 천리 56-6,경기도,031-333-5784,?,?,실패
371,370,송내우성,경기도 부천시 소사구 송내동 336-15,경기도,032-662-7259,?,?,실패
372,371,소사점,"경기도 부천시 소사구 소사로202번길 27, 1층(소사본동)",경기도,032-325-8787,?,?,실패
381,380,범계점,경기도 안양 동안 비산 1102 관악타운 상가122,경기도,031-381-8238,?,?,실패
386,385,모현점,경기도 용인시 처인구 모현면 일산리112-82,경기도,031-333-9952,?,?,실패
400,399,목감점,경기도 시흥시 목감중앙서로20 시흥목감엘에이치 7단지,경기도,031-414-0056,?,?,실패
411,410,괴안점,경기도 부천시 소사 괴안동 89-1,경기도,032-347-5661,?,?,실패
430,429,가양점,서울 강서 가양 1475 강변아파트상가 203,서울특별시,02-2668-9306,?,?,실패
440,439,일원점,서울시 강남 일원 682-7 1층,서울특별시,02-3411-0166,?,?,실패
441,440,삼전점,서울시 송파 삼전 167-17,서울특별시,02-419-5544,?,?,실패
442,441,신천점,서울시 송파 잠실 185-9,서울특별시,02-423-5183,?,?,실패
453,452,장승배기점,서울 동작 상도 373-72번지,서울특별시,02-816-7007,?,?,실패
464,463,독산점,서울시 금천구 독산 179-12,서울특별시,02-853-7714,?,?,실패
470,469,동방점,서울시 관악 신림 246-23,서울특별시,02-871-6111,?,?,실패
494,493,송도점,인천시 연수구 컨밴시아대로 42번길 12,인천광역시,032-834-6272,?,?,실패
527,526,도화점,서울시 마포구 도화1동 25-4,서울특별시,02-702-6692,?,?,실패
555,554,충북혁신도시점,충북 진천군 덕산면 연미로 87-1 상가1층,충청북도,043-534-6300,?,?,실패
569,568,충북덕산점,충청북도 진천군 덕산면 초금로 757-2,충청북도,043-536-3521,?,?,실패
652,651,압해도,전남 신안군 압해면 압해로 889,전라남도,061-271-1618,?,?,실패
701,700,덕하점,울산광역시 울주군 청량면 삼정로 769,울산광역시,052-268-7943,?,?,실패
724,723,화명점,부산 북구 화명1동 1130-9,부산광역시,051-341-3392,?,?,실패
736,735,망미배산점,부산 연제구 망미1동 831-26번지,부산광역시,051-751-0026,?,?,실패
738,737,범천점,부산광역시 부산진구 범천1동 850-1,부산광역시,051-637-8222,?,?,실패
746,745,경성부경대점,부산 남구 대연3동 555-7,부산광역시,051-622-2345,?,?,실패
767,766,신평점,부산 사하구 신평1동 33-168  24/1,부산광역시,051-206-1097,?,?,실패
817,816,산호점,대전광역시광역시 서구 계룡로571번길 65 상가 103호,대전광역시,042-488-2285,?,?,실패
818,817,둔산삼천점,대전광역시광역시 서구 둔산북로 215,대전광역시,042-482-1363,?,?,실패
834,833,성동점,경북 상주시 성동 193 - 3 번지,경상북도,054-536-1442,?,?,실패
875,874,현풍점,대구광역시 달성군 현풍면 중리295-1,대구광역시,053-611-9233,?,?,실패
884,883,명곡점,대구광역시 달성군 화원읍 상암로71201호2층,대구광역시,053-644-9902,?,?,실패
982,981,가고파점,경남 창원시 마산회원구 석전1동 262-2,경상남도,055-295-4027,?,?,실패
990,989,갑오점,경남 김해시 장유면 대청리 332-4 대청프라자 A-218,경상남도,055-332-7891,?,?,실패
1067,1066,현리점,경기도 가평군 하면 청군로 1185,경기도,031-585-2567,?,?,실패
1117,1116,반도체,경기도 화성 태안 반월 360-8,경기도,031-202-2374,?,?,실패
1119,1118,영통,"경기도 수원시 영통구 청면남로50번길 24, 101",경기도,031-202-9966,?,?,실패
1120,1119,남양,경기도 화성시 남양동 547,경기도,031-357-9980,?,?,실패
1125,1124,발안점,경기도 화성시 향냠읍 평리 101-9,경기도,031-353-0015,?,?,실패
