,0,1,2,3
0,고색점,경기도 수원시 권선구 매송고색로 691번길 6(고색동),경기도,031-292-8777
1,수성점,"대구광역시 수성구 수성로53길 20, 1층",대구광역시,053-768-5222
2,민락수변공원점,"부산광역시 수영구 광안해변로326번길 32, 1층 102호 (민락동, e편한세상오션테라스3단지)",부산광역시,051-753-9282
3,상일점,서울특별시 강동구 천호대로 219번길 74,서울특별시,02-441-7077
4,석수점,경기도 안양시 만안구 석천로 168,경기도,031-471-2959
5,운정3호점,경기 파주시 가람로 51번길 26-30,경기도,031-941-9282
6,교문점,경기 구리시 이문안로 9-1,경기도,031-566-9812
7,밀양무안점,경상남도 밀양시 무안면 사명로 503,경상남도,055-353-9929
8,밀양구기점,경상남도 밀양시 청도면 청도로 111,경상남도,055-352-9994
9,송현점,대구광역시 달서구 송현로 103,대구광역시,053-631-2338
10,세천점,대구광역시 달성군 다사읍 세천로10길 15-7,대구광역시,053-584-9995
11,하양점,"경상북도 경산시 하양읍 문화로 12,2층",경상북도,053-851-7599
12,광명1호점,경기도 광명시 오리로 1023,경기도,02-2688-7272
13,십정점,인천광역시 부평구 배곶로 77,인천광역시,032-422-7548
14,범어신도시점,"경상남도 양산시 물금읍 범구1길 21, 2층 201호",경상남도,055-386-7717
15,흑석점,서울특별시 동작구 현충로52,서울특별시,02-824-9001
16,호구포역점,인천광역시 남동구 논현로 40,인천광역시,032-429-9288
17,서석점,강원도 홍천군 서석면 구룡령로 2532,강원도,033-433-4437
18,삼산본동점,울산광역시 남구 남중로 76 (삼산동),울산광역시,052-227-9246
19,하계점,"서울시 노원구 공릉로58길 176, 상가동 101호(하계동, 우방아파트)",서울특별시,02-948-4500
20,구의광장점,"서울시 광진구 광나루로 545, 상강 제A동 1층 2호",서울특별시,02-444-9238
21,제기점,서울시 동대문구 고산자로 56길 20,서울특별시,02-960-7270
22,중화점,서울시 중랑구 봉화산로 102,서울특별시,02-437-9599
23,독립문점,서울시 종로구 사직로 11,서울특별시,02-730-2690
24,광운대점,서울시 성북구 장위로 49길 1-1(장위동),서울특별시,02-913-1292
25,녹번점,서울시 은평구 통일로 649(녹번동),서울특별시,02-356-7174
26,양곡점,경기도 김포시 양촌읍 양곡2로30번길 7-23,경기도,031-8049-7122
27,고덕1호점,경기도 평택시 고덕면 고덕여염 11길 114,경기도,031-665-9285
28,삼양점,서울특별시 강북구 삼양로54길 7,서울특별시,02-986-6337
