Country name,Regional indicator,Ladder score
Afghanistan,South Asia,2.566900015
Albania,Central and Eastern Europe,4.882699966
Algeria,Middle East and North Africa,5.005099773
Argentina,Latin America and Caribbean,5.974699974
Armenia,Commonwealth of Independent States,4.676799774
Australia,North America and ANZ,7.222799778
Austria,Western Europe,7.294199944
Azerbaijan,Commonwealth of Independent States,5.164800167
Bahrain,Middle East and North Africa,6.227300167
Bangladesh,South Asia,4.832799911
Belarus,Commonwealth of Independent States,5.539899826
Belgium,Western Europe,6.863500118
Benin,Sub-Saharan Africa,5.21600008
Bolivia,Latin America and Caribbean,5.747499943
Bosnia and Herzegovina,Central and Eastern Europe,5.674099922
Botswana,Sub-Saharan Africa,3.478899956
Brazil,Latin America and Caribbean,6.375599861
Bulgaria,Central and Eastern Europe,5.101500034
Burkina Faso,Sub-Saharan Africa,4.768700123
Burundi,Sub-Saharan Africa,3.775300026
Cambodia,Southeast Asia,4.848400116
Cameroon,Sub-Saharan Africa,5.084899902
Canada,North America and ANZ,7.23210001
Central African Republic,Sub-Saharan Africa,3.475899935
Chad,Sub-Saharan Africa,4.422699928
Chile,Latin America and Caribbean,6.228499889
China,East Asia,5.123899937
Colombia,Latin America and Caribbean,6.163400173
Comoros,Sub-Saharan Africa,4.288599968
Congo (Brazzaville),Sub-Saharan Africa,5.194399834
Congo (Kinshasa),Sub-Saharan Africa,4.31099987
Costa Rica,Latin America and Caribbean,7.121399879
Croatia,Central and Eastern Europe,5.504700184
Cyprus,Western Europe,6.15899992
Czech Republic,Central and Eastern Europe,6.910900116
Denmark,Western Europe,7.645599842
Dominican Republic,Latin America and Caribbean,5.689199924
Ecuador,Latin America and Caribbean,5.925199986
Egypt,Middle East and North Africa,4.151400089
El Salvador,Latin America and Caribbean,6.34829998
Estonia,Central and Eastern Europe,6.021800041
Ethiopia,Sub-Saharan Africa,4.186200142
Finland,Western Europe,7.808700085
France,Western Europe,6.663799763
Gabon,Sub-Saharan Africa,4.829299927
Gambia,Sub-Saharan Africa,4.750599861
Georgia,Commonwealth of Independent States,4.672599792
Germany,Western Europe,7.075799942
Ghana,Sub-Saharan Africa,5.147999763
Greece,Western Europe,5.514999866
Guatemala,Latin America and Caribbean,6.398900032
Guinea,Sub-Saharan Africa,4.949299812
