name,addrs
상명대학교사범대학부속초등학교,서울특별시 종로구 홍지문2길 1 상명대학교사범대학부속초등학교 (홍지동. 상명대학교 7번지)
서울교동초등학교,서울특별시 종로구 경운동 2번지(삼일대로 446)
서울대학교사범대학부설초등학교,서울특별시 종로구 대학로64
서울독립문초등학교,서울특별시 종로구 무악동 (무악동 46-82)
서울매동초등학교,서울특별시 종로구 사직로9길 19 서울 매동초등학교
서울명신초등학교,서울특별시 종로구 창신3동 7-40번지
서울세검정초등학교,서울 종로구 신영동 219-4번지
서울숭신초등학교,서울특별시 종로구 숭인동 242-1
서울재동초등학교,서울특별시 종로구 가회동 (가회동 210번지)
서울창신초등학교,서울 종로구 창신1동 (창신1동 128번지)
서울청운초등학교,서울특별시 종로구 청운동 (청운동 123번지)
서울혜화초등학교,서울특별시 종로구 혜화로 32 (혜화동 13-1)
서울효제초등학교,서울 종로구 효제동 (효제동 255-4)
운현초등학교,서울특별시 종로구 운니동 (운니동 114번지)
동산초등학교,서울특별시 중구 매봉 18길 109 (신당4동 333-579번지)
리라초등학교,서울특별시 중구 소파로 2길 7 리라초등학교
서울광희초등학교,서울특별시 중구 신당동 (신당동 254번지)
서울남산초등학교,서울특별시 중구 퇴계로22길 17 (남산동 2가 2번지)
서울덕수초등학교,서울특별시 중구 덕수궁길 140 (정동 1-76번지)
서울봉래초등학교,서울특별시 중구 손기정로 73 (만리동2가)
서울신당초등학교,서울특별시 중구 신당5동 161
서울장충초등학교,서울특별시 중구 신당2동 (신당2동 386)
서울청구초등학교,서울 중구 신당4동 (신당4동 330-2)
서울충무초등학교,서울특별시 중구 퇴계로 50길 13 (장충동2가 173-7)
서울흥인초등학교,서울특별시 중구 신당6동 (신당6동 292-66)
숭의초등학교,서울특별시 중구 예장동 (예장동 8-3)
서울금양초등학교,서울특별시 용산구 효창동 126-4
서울남정초등학교,서울 용산구 원효로2가 64길 (원효로2가 54번지)
서울보광초등학교,서울특별시 용산구 우사단로 20 (이태원1동 15-13번지)
서울삼광초등학교,서울특별시 용산구 두텁바위로1나길19
서울서빙고초등학교,서울특별시 용산구 서빙고로 51길 14번지
서울신용산초등학교,서울특별시 용산구 이촌1동 301-75번지
서울용산초등학교,서울 용산구 한강대로 57길 33 (한강로2가 1번지)
서울용암초등학교,서울특별시 용산구 용산동2가 녹사평대로 60길 39 (용산동2가 5-1488)
서울원효초등학교,서울특별시 용산구 산천동 (산천동 산4-2번지)
서울이태원초등학교,서울특별시 용산구 이태원2동 (이태원2동 406번지)
서울청파초등학교,서울특별시 용산구 효창원로 228 1-42
서울한강초등학교,서울특별시 용산구 한강로3가 14길 9 (한강로3가 65-5)
서울한남초등학교,서울 용산구 한남대로112(한남2동 726-1번지)
서울후암초등학교,서울특별시 용산구 후암동 339번지
신광초등학교,서울특별시 용산구 청파동3가 (청파동3가100번지)
서울경동초등학교,서울특별시 성동구 성수1가1동 성수1로 34
서울경수초등학교,서울특별시 성동구 성수2가1동 22
서울경일초등학교,서울 성동구 성수1가1동 656-32번지
서울금북초등학교,서울 성동구 금호동1가 행당로1길 13
서울금옥초등학교,서울특별시 성동구 금호동4가 1254번지
서울금호초등학교,서울 성동구 금호동2가 69
서울동명초등학교,서울특별시 성동구 마장동 29(마장동 560-0)
서울동호초등학교,서울특별시 성동구 동호로 5길 133
서울마장초등학교,서울특별시 성동구 마장동 766-49
서울무학초등학교,서울특별시 성동구 하왕십리2동 950-1번지
서울사근초등학교,서울특별시 성동구 사근동 11길 16
서울성수초등학교,서울 성동구 성수2가3동 277-32
서울송원초등학교,서울특별시 성동구 동일로43길 9 (송정동)
서울옥수초등학교,서울특별시 성동구 금호동4가 440-12번지
서울옥정초등학교,서울특별시 성동구 옥수2동 233-16번지
서울용답초등학교,서울 성동구 용답동 29번지
서울응봉초등학교,서울 성동구 응봉동 독서당로 62길
서울행당초등학교,서울특별시 성동구 행당동 320번지
서울행현초등학교,서울특별시 성동구 행당2동 317-18
한양초등학교,서울특별시 성동구 행당동 17번지
경복초등학교,서울 광진구 능동 25번지
서울광남초등학교,서울특별시 광진구 광장동 아차산로 70길 35
서울광장초등학교,서울특별시 광진구 광장동 광장로1길 27 서울광장초등학교
서울광진초등학교,서울특별시 광진구 구의동 자양로 40길 41
서울구남초등학교,서울 광진구 구의3동 587-95번지
서울구의초등학교,서울특별시 광진구 광나루로 30길 49
서울동의초등학교,서울 광진구 구의2동 영화사로 111
서울동자초등학교,서울특별시 광진구 자양3동 561
서울성자초등학교,서울특별시 광진구 자양2동 662
서울신양초등학교,서울 광진구 자양3동 506-1번지
서울신자초등학교,서울 광진구 자양동 뚝섬로 46길 64
서울양남초등학교,서울특별시 광진구 자양2동 (자양동. 서울양남초등학교)
서울양진초등학교,서울특별시 광진구 광장동 워커힐길 32
서울용곡초등학교,서울특별시 광진구 중곡4동 176-1
서울용마초등학교,서울특별시 광진구 중곡2동 135-1번지
서울자양초등학교,서울특별시 광진구 자양1동 222-6(자양새싹길 14)
서울장안초등학교,서울특별시 광진구 군자동 74
서울중광초등학교,서울특별시 광진구 중곡3동 중광초등학교
서울중마초등학교,서울 광진구 중곡3동 191-70번지
서울화양초등학교,서울특별시 광진구 화양동 12-2
성동초등학교,서울특별시 광진구 자양동 694-1
세종초등학교,서울특별시 광진구 군자동 98번지
경희초등학교,동대문구 1번지(경희대로26) 경희대학교 병설 경희초등학교
서울군자초등학교,서울특별시 동대문구 장안1동 239-2
서울답십리초등학교,서울특별시 동대문구 답십리동 274번지
서울동답초등학교,서울특별시 동대문구 답십리2동 2-24
서울배봉초등학교,서울특별시 동대문구 전농2동 3-111 (전농동. 서울배봉초등학교)
서울삼육초등학교,서울특별시 동대문구 회기동 삼육새싹1길 41
서울신답초등학교,서울특별시 동대문구 답십리3동 177번지
서울안평초등학교,서울특별시 동대문구 장안1동 353-1
서울용두초등학교,서울특별시 동대문구 용두2동 237-1
서울이문초등학교,서울특별시 동대문구 이문3동 164-26
서울장평초등학교,서울 동대문구 장안2동 323번지
서울전곡초등학교,서울특별시 동대문구 전농2동 172
서울전농초등학교,서울특별시 동대문구 전농동 306
서울전동초등학교,서울특별시 동대문구 전농3동 45-41
서울종암초등학교,서울특별시 동대문구 제기2동 1157
서울청량초등학교,서울특별시 동대문구 회기동 1-1
서울홍릉초등학교,서울특별시 동대문구 청량리2동 206-44
서울홍파초등학교,서울특별시 동대문구 제기동 678
서울휘경초등학교,서울특별시 동대문구 휘경2동 302-2
서울휘봉초등학교,서울특별시 동대문구 휘경2동 6~68 49-27
은석초등학교,서울 동대문구 장안2동 328
금성초등학교,서울특별시 중랑구 신내동 (651번지)
서울동원초등학교,서울특별시 중랑구 망우1동 216
서울망우초등학교,서울 중랑구 망우동 153-1
서울면남초등학교,서울특별시 중랑구 면목7동 583-15
서울면동초등학교,서울 중랑구 면목본동 551
서울면목초등학교,서울특별시 중랑구 면목1동 221
서울면북초등학교,서울 중랑구 용마공원로 5길 32
서울면일초등학교,서울 중랑구 망우3동 440번지
서울면중초등학교,서울특별시 중랑구 면목3동 용마산로 70길 43
서울묵동초등학교,서울 중랑구 중화1동 277-1
서울묵현초등학교,서울특별시 중랑구 동일로 157길 75
서울봉화초등학교,서울 중랑구 신내2동 655
서울상봉초등학교,서울특별시 중랑구 상봉동 312-1
서울신내초등학교,서울특별시 중랑구 신내1동 444번지
서울신묵초등학교,서울특별시 중랑구 묵2동 246-12
서울신현초등학교,서울특별시 중랑구 봉화산길 188
서울원묵초등학교,서울특별시 중랑구 묵1동 109번지
서울중곡초등학교,서울 중랑구 면목4동 면목 23길 20
서울중랑초등학교,서울 중랑구 면목2동 서울중랑초등학교
서울중목초등학교,서울특별시 중랑구 면목2동 180-5
서울중화초등학교,서울특별시 중랑구 신내동 서울중화초등학교
서울중흥초등학교,서울특별시 중랑구 중화동 119 서울중흥초등학교
광운초등학교,서울특별시 성북구 장위3동 128번지
대광초등학교,서울특별시 성북구 보문동 7가 111번지
매원초등학교,서울특별시 성북구 돈암1동 45(북악산길 870)
서울개운초등학교,서울 성북구 돈암1동 2-8번지
서울길원초등학교,서울특별시 성북구 길음동 1280-4
서울길음초등학교,서울 성북구 길음로 142
서울돈암초등학교,서울특별시 성북구 동소문동6가 27-1
서울동신초등학교,서울특별시 성북구 보문동3가 228번지
서울미아초등학교,서울 성북구 길음2동 1168번지
서울삼선초등학교,서울특별시 성북구 삼선동 3가 삼선초등학교
서울석계초등학교,서울특별시 성북구 석관동 (석관동.서울석계초등학교)
서울석관초등학교,서울특별시 성북구 석관동 감나무길 15(석관동 205번지)
서울성북초등학교,서울특별시 성북구 성북동 66-1
서울숭곡초등학교,서울특별시 성북구 하월곡1동 40길 30번
서울숭덕초등학교,서울특별시 성북구 정릉로 279
서울숭례초등학교,서울특별시 성북구 종암동 종암로5길 14
서울숭인초등학교,서울특별시 성북구 하월곡동 222-4
서울안암초등학교,서울특별시 성북구 안암동2가 93
서울월곡초등학교,서울특별시 성북구 장월로3길 42
서울일신초등학교,서울 성북구 종암2동 1-79번지
서울장곡초등학교,서울특별시 성북구 장위1동 235-1번지
서울장월초등학교,서울특별시 성북구 장위동 (장위동)
서울장위초등학교,서울특별시 성북구 장위2동 68-8번지(장월로 8가길 41)
서울정덕초등학교,서울특별시 성북구 동소문동7가 118-1
서울정릉초등학교,서울특별시 성북구 정릉4동 798
서울정수초등학교,서울 성북구 정릉2동 58
서울청덕초등학교,서울특별시 성북구 정릉3동 9라길11(정릉3동847)
성신초등학교,서울특별시 성북구 돈암동 산11-269
우촌초등학교,서울특별시 성북구 돈암2동 52-1
