"국가별",2015,2016,2017,2018,2019
"아시아",,,,,
"한국",100,100,100,100,100
"이스라엘",133,128,134,131,143
"일본",105,106,102,113,124
"터키",62,55,52,46,47
"북아메리카",,,,,
"캐나다",109,115,115,117,119
"멕시코",63,56,61,63,67
"미국",114,115,109,118,121
"남아메리카",,,,,
"칠레",73,74,78,80,77
"유럽",,,,,
"오스트리아",109,104,110,114,112
"벨기에",112,105,113,116,113
"체코",66,62,72,72,74
"덴마크",142,133,143,141,138
"에스토니아",76,72,79,82,82
"핀란드",124,117,123,126,124
"프랑스",110,103,111,113,112
"독일",104,99,107,109,106
"그리스",85,83,86,88,84
"헝가리",57,56,62,63,63
"아이슬란드",134,159,167,155,155
"아일랜드",124,119,125,129,130
"이탈리아",105,98,103,103,101
"라트비아",-,68,74,76,76
"리투아니아",-,-,-,68,68
"룩셈부르크",123,119,129,130,129
"네덜란드",112,106,114,116,116
"노르웨이",135,139,137,150,144
"폴란드",55,50,58,58,60
"포르투갈",84,81,86,88,87
"슬로바키아",68,64,70,73,80
"슬로베니아",82,78,86,87,86
"스페인",94,90,95,96,94
"스웨덴",126,116,124,123,121
"스위스",167,157,153,161,160
"영국",138,114,119,119,124
"오세아니아",,,,,
"오스트레일리아",131,131,133,130,128
"뉴질랜드",124,129,124,129,126
