country,price
United Arab Emirates,4.01562691
Argentina,2.87050437
Australia,4.260105
Azerbaijan,2.32832302
Bahrain,3.71352785
Brazil,4.59643317
Canada,5.15593466
Switzerland,6.54219717
Chile,3.82747372
China,3.05028615
Colombia,3.68763557
Costa Rica,3.9351474
Czech Republic,3.72818464
Denmark,4.504978
Egypt,2.52783629
Euro area,4.572252
Britain,4.101314
Guatemala,3.25512356
Hong Kong,2.62467192
Honduras,3.51258404
Croatia,3.33429321
Hungary,3.09766739
Indonesia,2.26468507
India,2.6694129
Israel,4.7663106
Jordan,3.24400564
Japan,3.58571232
South Korea,3.81178264
Kuwait,3.61247947
Lebanon,4.31320504
Sri Lanka,3.64309093
Moldova,2.41380472
Mexico,2.64616769
Malaysia,2.13639107
Nicaragua,3.31703963
Norway,4.85394817
New Zealand,4.2288
Oman,3.14285714
Pakistan,3.04858685
Peru,3.19459657
Philippines,2.76708725
Poland,2.83632066
Qatar,3.56971236
Romania,2.20420933
Russia,2.03638072
Saudi Arabia,3.46634314
Singapore,4.26063322
Sweden,5.38255735
Thailand,3.86018977
Turkey,2.44494932
Taiwan,2.30976517
Ukraine,2.22243883
Uruguay,4.66313141
United States,5.74
Vietnam,2.79798545
South Africa,2.18694885
