No,city,city2,hp1,hp2,h_mean,e_mean,s_mean,ed_mean,sf_mean,l_mean,en_mean,hp3
1,서울특별시,종로구,a,0.8074,0.922,1,0.7425,0.6839,0.747,0.6331,0.4637,0.4437
2,서울특별시,중구,a,0.6939,0.6742,0.9806,0.4608,0.5013,0.932,0.6691,0.2865,0.4976
3,서울특별시,용산구,a,0.531,0.5898,0.6915,0.4317,0.2679,0.5537,0.2817,0.503,0.6161
4,서울특별시,성동구,c,0.4751,0.4794,0.6533,0.4182,0.2464,0.5347,0.3257,0.4196,0.4729
5,서울특별시,광진구,b,0.5317,0.6373,0.4445,0.3519,0.4879,0.6072,0.3313,0.4992,0.4041
6,서울특별시,동대문구,b,0.4921,0.6024,0.477,0.1339,0.5119,0.648,0.2329,0.3075,0.5842
7,서울특별시,중랑구,e,0.4057,0.5225,0.248,0.2511,0.1537,0.5424,0.1831,0.5523,0.1058
8,서울특별시,성북구,d,0.3999,0.4177,0.2732,0.3539,0.4649,0.463,0.267,0.4991,0.6382
9,서울특별시,강북구,e,0.3535,0.3987,0.1313,0.0893,0.1063,0.6119,0.2337,0.6812,0.0461
10,서울특별시,도봉구,d,0.4297,0.4683,0.2104,0.5292,0.4725,0.4675,0.3076,0.5545,0.2171
11,서울특별시,노원구,c,0.4307,0.4783,0.1496,0.4966,0.8054,0.3241,0.1548,0.647,0.624
12,서울특별시,은평구,e,0.3513,0.3925,0.1538,0.5292,0.1314,0.4769,0.2498,0.4726,0.3242
13,서울특별시,서대문구,a,0.5715,0.8437,0.4415,0.2809,0.3663,0.6215,0.2175,0.4215,0.605
14,서울특별시,마포구,a,0.5362,0.5414,0.7569,0.4891,0.5487,0.5025,0.2337,0.3967,0.6487
15,서울특별시,양천구,a,0.5178,0.6074,0.3355,0.6415,0.5632,0.5365,0.2737,0.4848,0.6845
16,서울특별시,강서구,e,0.3693,0.3309,0.3788,0.257,0.2969,0.4676,0.1998,0.5817,0.3646
17,서울특별시,구로구,b,0.5316,0.5995,0.6418,0.4795,0.3886,0.5034,0.3594,0.4408,0.4386
18,서울특별시,금천구,d,0.4713,0.4905,0.8277,0.3858,0.2392,0.3618,0.2391,0.4086,0.1707
19,서울특별시,영등포구,a,0.6246,0.7313,0.9332,0.4053,0.2797,0.674,0.371,0.3213,0.6637
20,서울특별시,동작구,d,0.3712,0.336,0.3594,0.224,0.3623,0.5241,0.2002,0.4874,0.6413
21,서울특별시,관악구,d,0.4034,0.5065,0.2858,0.1551,0.1501,0.6448,0.2037,0.425,0.2257
22,서울특별시,서초구,a,0.6024,0.6763,0.921,0.4501,0.503,0.4234,0.2724,0.5075,0.9259
23,서울특별시,강남구,a,0.6281,0.6171,0.9933,0.3016,0.5955,0.6969,0.3043,0.416,0.7945
24,서울특별시,송파구,a,0.5453,0.6596,0.6091,0.4959,0.4632,0.456,0.192,0.5124,0.7575
25,서울특별시,강동구,b,0.5229,0.715,0.4233,0.4123,0.3951,0.4855,0.2317,0.4779,0.3796
26,부산광역시,중구,a,0.6036,0.8268,0.7565,0.2166,0.3472,0.6374,0.4288,0.1966,0.0225
27,부산광역시,서구,b,0.5329,0.8836,0.2933,0.1042,0.2663,0.7178,0.1076,0.2964,0.3044
28,부산광역시,동구,c,0.5317,0.6041,0.6842,0.1553,0.3953,0.6587,0.1358,0.4844,0.0361
29,부산광역시,영도구,e,0.3518,0.4181,0.2217,0.0094,0.4087,0.4401,0.1243,0.5508,0.2273
30,부산광역시,부산진구,c,0.447,0.5989,0.4598,0.127,0.5995,0.2883,0.1193,0.4563,0.4239
31,부산광역시,동래구,a,0.5237,0.7246,0.3831,0.4833,0.5999,0.4551,0.0655,0.4052,0.6437
32,부산광역시,남구,c,0.4276,0.4537,0.3297,0.2272,0.619,0.5062,0.0871,0.5422,0.5531
33,부산광역시,북구,e,0.3637,0.4344,0.0844,0.4301,0.5832,0.3248,0.1362,0.5921,0.3065
34,부산광역시,해운대구,d,0.3915,0.3278,0.336,0.3783,0.5989,0.3942,0.1267,0.6508,0.6314
35,부산광역시,사하구,e,0.3179,0.361,0.2831,0.3788,0.7165,0.1436,0.0909,0.1976,0.1104
36,부산광역시,금정구,c,0.4617,0.5716,0.3769,0.4859,0.7324,0.1765,0.0904,0.6128,0.5369
37,부산광역시,강서구,e,0.3303,0.07,0.9899,0.522,0.2152,0.2717,0.2904,0.1776,0.4799
38,부산광역시,연제구,c,0.4199,0.4166,0.4785,0.4122,0.5233,0.43,0.0238,0.443,0.6428
39,부산광역시,수영구,d,0.4172,0.561,0.3607,0.1557,0.4581,0.4349,0.0404,0.3782,0.3467
40,부산광역시,사상구,e,0.4032,0.5559,0.541,0.1217,0.5093,0.1576,0.0517,0.3668,0.0903
41,부산광역시,기장군,c,0.4738,0.3824,0.4298,0.5078,0.5007,0.4411,0.5211,0.8287,0.4374
42,대구광역시,중구,a,0.7384,1,0.781,0.4463,0.6247,0.7281,0.598,0.2231,0.4445
43,대구광역시,동구,e,0.3053,0.3681,0.2675,0.2631,0.3777,0.259875,0.0965,0.7253,0.31
44,대구광역시,서구,e,0.2329,0.2596,0.3363,0.28234,0.5229,0.1849,0.1395,0.0689,0.0049
45,대구광역시,남구,c,0.5006,0.8312,0.2459,0.2008,0.4699,0.4562,0.0817,0.3868,0.0828
46,대구광역시,북구,e,0.3691,0.2541,0.4411,0.4278,0.7195,0.2096,0.2337,0.5778,0.3459
47,대구광역시,수성구,b,0.4426,0.4321,0.2827,0.6297,0.707,0.2574,0.2263,0.7551,0.77
48,대구광역시,달서구,d,0.3858,0.3122,0.3487,0.3674,0.766,0.3668,0.2009,0.4726,0.3832
49,대구광역시,달성군,c,0.4399,0.4013,0.4486,0.5173,0.499,0.306,0.3028,0.7268,0.5706
50,인천광역시,중구,b,0.5146,0.5908,0.8391,0.3831,0.3333,0.2809,0.2992,0.4888,0.3637
51,인천광역시,동구,b,0.5439,0.4211,0.582,0.8203,0.7253,0.7416,0.3058,0.3129,0.3377
52,인천광역시,연수구,d,0.4042,0.3239,0.4015,0.5808,0.7789,0.3015,0.1238,0.493,0.045
53,인천광역시,남동구,e,0.3699,0.3139,0.4603,0.4516,0.5361,0.3163,0.0862,0.4239,0.6497
54,인천광역시,부평구,e,0.3356,0.258,0.2607,0.4549,0.5,0.3734,0.0541,0.5649,0.2927
55,인천광역시,계양구,d,0.4205,0.4128,0.2846,0.6808,0.5639,0.3322,0.1692,0.6082,0.2794
56,인천광역시,서구,e,0.3615,0.2295,0.4769,0.6203,0.4347,0.3136,0.1622,0.5231,0.1531
57,인천광역시,미추홀구,e,0.3136,0.3222,0.3265,0.1831,0.3674,0.3312,0.0991,0.4066,0.3435
58,인천광역시,강화군,d,0.3915,0.3468,0.1021,0.5983,0.1909,0.4645,0.6199,0.8149,0.6697
