,C행정구역별_읍면동,행정구역별_읍면동,<ec>떆<ec>젏,총인구_명,남자_명,여자_명,내국인_계_명,내국인_남자_명,내국인_여자_명,외국인_계_명,외국인_남자_명,외국인_여자_명,가구_계_가구,일반가구_가구,집단가구_가구,외국인가구_가구,주택_계_호,단독주택_호,아파트_호,연립주택_호,다세대주택_호,비거주용_건물내_주택_호,주택이외의_거처_호,C행정구역별,code
5,'11,,2015,9904312,4859535,5044777,9567196,4694317,4872879,337116,165218,171898,3914820,3784490,2261,128069,2793244,355039,1636896,117235,654372,29702,150951,11,11
455,'21,遺,2015,3448737,1701347,1747390,3404667,1675339,1729328,44070,26008,18062,1348315,1335900,686,11729,1164352,225697,738068,32120,154253,14214,50810,21,21
681,'22,,2015,2466052,1228511,1237541,2436770,1211219,1225551,29282,17292,11990,937573,928528,574,8471,738100,155801,509068,9381,53098,10752,15304,22,22
832,'23,,2015,2890451,1455017,1435434,2822601,1414793,1407808,67850,40224,27626,1066297,1045417,713,20167,942244,102914,577346,21589,232346,8049,39964,23,23
995,'24,愿묒＜愿묒뿭,2015,1502881,748867,754014,1481289,736656,744633,21592,12211,9381,573181,567157,438,5586,486527,88401,376731,7396,8517,5482,10625,24,24
1096,'25,,2015,1538394,772243,766151,1519314,763310,756004,19080,8933,10147,588395,582504,420,5471,468885,81292,338250,10068,34151,5124,10676,25,25
1181,'26,,2015,1166615,606924,559691,1136755,587603,549152,29860,19321,10539,434058,423412,239,10407,357674,66190,253010,7564,24585,6325,7444,26,26
1246,'29,,2015,204088,103210,100878,199617,100455,99162,4471,2755,1716,76419,75219,65,1135,81130,15696,62274,997,1499,664,2112,29,29
1264,'31,寃쎄린,2015,12479061,6309661,6169400,12026429,6039800,5986629,452632,269861,182771,4537581,4384742,3879,148960,3693557,498250,2502091,121960,538971,32285,163742,31,31
1874,'32,媛뺤썝,2015,1518040,768241,749799,1499734,758601,741133,18306,9640,8666,611578,606117,788,4673,569899,230825,297005,20233,11037,10799,12283,32,32
2084,'33,異⑹껌遺곷룄,2015,1589347,805377,783970,1548589,779961,768628,40758,25416,15342,613004,601856,814,10334,556951,204614,308352,15975,18382,9628,13852,33,33
2256,'34,異⑹껌,2015,2107802,1078310,1029492,2036720,1034139,1002581,71082,44171,26911,816247,796185,1107,18955,754372,304281,382323,20096,37071,10601,23297,34,34
2484,'35,,2015,1834114,915729,918385,1804184,899308,904876,29930,16421,13509,726572,717311,834,8427,687103,282928,364712,14980,14153,10330,13926,35,35
2745,'36,,2015,1799044,900967,898077,1764433,879860,884573,34611,21107,13504,730743,720612,933,9198,747621,404904,306661,14187,9915,11954,20253,36,36
3068,'37,寃쎌긽遺곷룄,2015,2680294,1351037,1329257,2622729,1314196,1308533,57565,36841,20724,1078479,1062724,1312,14443,995385,457157,449154,27799,44533,16742,26036,37,37
3429,'38,寃쎌긽,2015,3334524,1698737,1635787,3244163,1634407,1609756,90361,64330,26031,1282617,1258487,1176,22954,1134738,416364,641589,24944,35701,16140,36605,38,38
3771,'39,,2015,605619,304789,300830,590473,295875,294598,15146,8914,6232,224724,220369,225,4130,195224,83608,62532,18825,25506,4753,9315,39,39
