순위,영화명,개봉일,스크린수,스크린점유율,매출액,누적매출액,관객수,누적관객수
1,테넷,2020-08-26,"1,230",29.20%,"184,733,240","12,458,136,090","20,534","1,355,759"
2,오! 문희,2020-09-02,643,15.20%,"53,520,900","1,899,573,540","6,840","234,571"
3,뉴 뮤턴트,2020-09-10,570,13.50%,"26,913,420","467,403,000","3,213","52,649"
4,다만 악에서 구하소서,2020-08-05,344,8.20%,"16,248,910","38,486,669,180","1,956","4,342,847"
5,에이바,2020-09-09,299,7.10%,"7,488,830","158,019,590",972,"20,128"
6,기기괴괴 성형수,2020-09-09,248,5.90%,"33,394,600","432,687,200","3,968","48,178"
7,테스와 보낸 여름,2020-09-10,143,3.40%,"3,812,870","52,247,540",498,"5,703"
8,극장판 짱구는 못말려: 신혼여행 허리케인~ 사라진 아빠!,2020-08-20,84,2.00%,"2,472,840","952,038,310",312,"116,951"
9,아무도 없다,2020-09-09,81,1.90%,"2,501,300","34,215,270",303,"3,871"
10,오케이 마담,2020-08-12,70,1.70%,"1,768,600","10,959,398,230",217,"1,225,221"
