,0,1
0,가경동점,충청북도 청주시흥덕구 풍산로 103(복대동)
1,가남점,경기도 여주시 가남면 태평중앙1길 8-6
2,가래비점,경기도 양주시 광적면 가래비길 24
3,가마점,"충청북도 청주시서원구 남이면 청남로 1827-25, 1층"
4,가수원점,대전광역시 서구 가수원동 774-18
5,가양동점,"서울특별시 강서구 양천로57길 10-11, 101-1호 (가양동, 이스타빌2차)"
6,가오점,대전광역시 동구 가오동 533
7,가운점,경기도 남양주시 가운로2길 63 가운동삼원프라자 105호
8,가장점,대전광역시 서구 가장동 40-40
9,가정지구1점,인천광역시 서구 봉오재2로 37 104호
10,가좌3점,인천광역시 서구 가석로156번길 23-1
11,가평역전점,경기도 가평군 가평읍 굴다리길 13
12,가평점,경기도 가평군 가평읍 가화로 125-1
13,가흥점,경상북도 영주시 가흥동 530 시영상가 나동 102호
14,각화주공점,광주광역시 북구 각화동 202번지 주공@상가 107호
15,간성점,강원도 고성군 간성읍 간성로 45
16,간현점,강원도 원주시 지정면 간현로 188
17,갈곶원동점,경기도 오산시 오산로 68(갈곶동)
18,갈마점,대전광역시 서구 갈마로 60(갈마동)
19,갈산점,인천광역시 부평구 갈산동 364-4
20,갈산점(이천),"경기도 이천시 갈산로 81(갈산동, 102)"
21,갈산점(홍성),충청남도 홍성군 갈산면 상촌리 243-12
22,감곡점,충청북도 음성군 감곡면 장감로 142
23,감삼점,대구광역시 달서구 두류3동 630-1
24,강경점,충청남도 논산시 강경읍 대흥리 19-3
25,강구점,경상북도 영덕군 강구면 강구리 453번지
26,강남구청점,서울특별시 강남구 삼성로119길 41. 1층(삼성동)
27,강남대점,경기도 용인시기흥구 강남동로 114번길 22
28,강남점,대구광역시 동구 신암로16길 2
29,강릉교동점,강원도 강릉시 강릉대로 269 (교동)
30,강릉대점,강원도 강릉시  율곡초교길39번  23(교동)
31,강릉서부점,강원도 강릉시 임영로 170-3(임당동)
32,강릉옥계점,강원도 강릉시  옥계면 현내시장길 59
33,강릉옥천동점,강원도 강릉시  경강로 2166
34,강릉유천점,강원도 강릉시  선수촌로 63번길 5 우미린상가106
35,강북점,대구광역시 북구 읍내동 803-1
36,강상점,"경기도 양평군 강상면 강남로 922, 107호"
37,강서점,충청북도 청주시흥덕구 가로수로1154 5-12(강서동)
38,강선점,경기도 고양시일산서구 강선로 67번지 유원상가 103호
39,강진점,전라남도 강진군 강진읍 탐진로 76-1
40,강화1점,인천광역시 강화군 강화읍 강화대로403번길 5
41,강화2점,인천광역시 강화군 강화읍 남산리 39-1
42,개군점,경기도 양평군 개군면 하자포길 35
43,개금점,부산광역시 부산진구 개금3동 18
44,개봉1점,"서울특별시 구로구 개봉로11길 13, 1층 3호(개봉동)"
45,개신점,충청북도 청주시서원구 장구봉로 130 1층
46,개운점,강원도 원주시 송림길 48-10(개운동)
47,개포2점,서울특별시 강남구 선릉로6길 12. 1층(개포동)
48,개포3점,서울특별시 강남구 개포로22길 23. 지상1층(개포동)
49,거모점,경기도 시흥시 도일로 100-3
50,거제상동점,"경상남도 거제시 상동1길 15-9(상동동, 320동 103호)"
51,거진점,강원도 고성군 거진읍 거탄진로 117
52,거창점,경상남도 거창군 거창읍 중앙로 52-1
53,건등점,"강원도 원주시 문막읍 왕건로 96, 지하1층"
54,건영점,경기도 고양시일산서구 성저로 110번지
55,건천점,"경상북도 경주시 건천읍 내서로 1126, 101"
56,검암경서점,인천광역시 서구 검암동 643-2 우주프라자 104
57,경기송산점,경기도 화성시 수노을1로191 상가3동 105호
58,경남고성점,경상남도 고성군 고성읍 송학리 263-7
59,경남금산점,경상남도 진주시 금산면 금산로 101
60,경남단계점,경상남도 산청군 신등면 신등가회로 15
61,경남사천점,경상남도 사천시 사천읍 정의1길 16
62,경남양산점,경상남도 양산시 중앙로 111 1층
63,경복점,"서울특별시 강남구 봉은사로43길 8, 1층 102호(논현동)"
64,경안점,경기도 광주시 중앙로 179 (송정동)
65,경포대점,강원도 강릉시  해안로 501 
66,계산1점,인천광역시 계양구 계산2동 933-25
