No,,0,1,경도,위도,상태
2,1,가남점,경기도 여주시 가남면 태평중앙1길 8-6,?,?,실패
44,43,개금점,부산광역시 부산진구 개금3동 18,?,?,실패
46,45,개신점,충청북도 청주시서원구 장구봉로 130 1층,?,?,실패
69,68,고강1점,경기도 부천시오정구 원종동 238-10,?,?,실패
70,69,고강2점,경기도 부천시오정구 고강동 399,?,?,실패
73,72,고덕역점,서울특별시 강동구 고덕1동 643-2,?,?,실패
81,80,고척동점,서울특별시 구로구 고척2동 164-41,?,?,실패
112,111,광주지사,   ,?,?,실패
118,117,괴안1점,"경기도 부천시소사구 부광로8번길 39,104(괴안동)",?,?,실패
126,125,구로2동점,서울특별시 구로구 구로2동 726-32,?,?,실패
167,166,까치산점,서울특별시 강서구 화곡8동 342-7 1층 102,?,?,실패
169,168,꿈.연화점,경기도 부천시원미구 옥산로 86,?,?,실패
170,169,낙성대1점,서울특별시 관악구 봉천11동 1642-7,?,?,실패
183,182,내동점,경기도 부천시오정구 삼작로96번길 21(내동 19-12),?,?,실패
186,185,내포1점,충청남도 홍성군 홍북면 애향2길 2,?,?,실패
227,226,대구지사,   ,?,?,실패
242,241,대전지사,   ,?,?,실패
251,250,덕산점,충청북도 진천군 덕산면 덕금로 809,?,?,실패
258,257,도당점,경기도 부천시원미구 도당동 284-15 1층,?,?,실패
287,286,동탄2점,경기도 화성시 동탄면 중리 동탄청계로 303-14,?,?,실패
297,296,등촌제일점,서울특별시 강서구 등촌1동 641-12,?,?,실패
313,312,망우동점,서울특별시 중랑구 망우3동 444-26,?,?,실패
314,313,망원동점,서울특별시 마포구 망원2동 475-42,?,?,실패
325,324,모산점,충청남도 아산시 배방면 공수리 63-24,?,?,실패
327,326,모현점,경기도 용인시처인구 모현면 외대로 36,?,?,실패
359,358,반달마을점,"경기도 부천시원미구 상동 397, 반달상가1층",?,?,실패
369,368,백련시장점,서울특별시 서대문구 남가좌2동 347-1,?,?,실패
416,415,부산지사,   ,?,?,실패
423,422,북가좌2점,서울특별시 서대문구 북가좌2동 107-1 1층,?,?,실패
471,470,상도4동점,서울특별시 동작구 상도4동 210-8,?,?,실패
473,472,상동라일락점,"경기도 부천시원미구 도약로 35, 105(상동)",?,?,실패
475,474,상동현대점,"경기도 부천시원미구 상동 555-8, 102호",?,?,실패
522,521,성내동점,서울특별시 강동구 성내1동 560-5,?,?,실패
540,539,소사3점,"경기도 부천시소사구 소사로160번길 26-2, 1층일부(소사본동)",?,?,실패
546,545,송내1점,"경기도 부천시소사구 경인로134번길 72, 202호(송내동,단지내상가2층)",?,?,실패
547,546,송내점,경기도 동두천시 거북마루24    103호,?,?,실패
566,565,수원지사,   ,?,?,실패
577,576,시흥사거리점,서울특별시 금천구 시흥1동 995-10 1층,?,?,실패
602,601,신설동점,서울특별시 종로구 숭인2동 699,?,?,실패
603,602,신성점,대전광역시 유성구 신선로 72번길 30,?,?,실패
621,620,신풍시장점,서울특별시 영등포구 신길3동 325-96,?,?,실패
626,625,심곡5점,"경기도 부천시원미구 부천로103번길 17, 1층 일부 (심곡동)",?,?,실패
627,626,심곡본1점,"경기도 부천시소사구 성주로 159(심곡본동,1층)",?,?,실패
652,651,암사역점,서울특별시 강동구 암사1동 501-25,?,?,실패
656,655,약대점,경기도 부천시오정구 삼정동 318-5 1층,?,?,실패
677,676,여월점,경기도 부천시오정구 여월동 52-4 1층,?,?,실패
680,679,역곡1점,경기도 부천시원미구 역곡로 61 (역곡동),?,?,실패
706,705,영주지사,   ,?,?,실패
719,718,오정점,"경기도 부천시오정구 오정로 244번 45, (오정동,1층)",?,?,실패
732,731,왕십리점,서울특별시 성동구 하왕십리2동 955-11,?,?,실패
737,736,용산점,충청북도 충주시 금붕9길 3,?,?,실패
753,752,우암점,충청북도 청주시상당구 향군로 20(우암점),?,?,실패
764,763,원미1점,"경기도 부천시원미구 원미로 89-1, 1층(원미동)",?,?,실패
767,766,원종3점,경기도 부천시오정구 원종동 206-3,?,?,실패
768,767,원주지사,테스트 테스트구 테스트점 23-123,?,?,실패
773,772,월곡2점,서울특별시 성북구 하월곡2동 37-18,?,?,실패
778,777,유성1점,대전광역시 유성구 게룡로60번길 60-2,?,?,실패
795,794,의정부지사,   ,?,?,실패
818,817,인천지사,   ,?,?,실패
859,858,전북지사,   ,?,?,실패
874,873,제주지사,   ,?,?,실패
897,896,중동1점,경기도 부천시원미구 중동 805-2 중앙 103호,?,?,실패
898,897,중동동성점,"경기도 부천시원미구 조마루로 233, 상가동1층121호(중동, 미리내마을)",?,?,실패
908,907,중흥설악점,경기도 부천시원미구 중동 1052 중흥주공상가 204,?,?,실패
934,933,천리점,경기도 용인시처인구 이동면 백옥대로 623,?,?,실패
945,944,천천2점,경기도 수원시장안구 화서동 706 진흥@상가 105,?,?,실패
957,956,청북신도시점,경기도 평택시 청북면 옥길리 1165-7,?,?,실패
969,968,총신대점,서울특별시 동작구 사당5동 213-7,?,?,실패
976,975,충청지사,   ,?,?,실패
997,996,테크노점(대구),대구광역시 달성군 유가면 테크노상업로 98,?,?,실패
1056,1055,한아름점,경기도 부천시원미구 상동 393,?,?,실패
1058,1057,함덕점,제주특별자치도 제주시 초천읍 평사길 4-3,?,?,실패
1083,1082,홍은1점,서울특별시 서대문구 홍은2동 9-56 1층,?,?,실패
1118,1117,흥해점,경상북도 포항시북구 흠해흡 초곡지구로52번길 28-6,?,?,실패
1120,1119,CNTTEST,00 18 신사동 주소,?,?,실패
