LOCATION,Country name,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,Australia,SMOKERS,TOT,PC_POP15,A,2013,13,
AUS,Australia,SMOKERS,TOT,PC_POP15,A,2016,12.4,
AUT,Austria,SMOKERS,TOT,PC_POP15,A,2014,24.3,
BEL,Belgium,SMOKERS,TOT,PC_POP15,A,2013,18.9,
BEL,Belgium,SMOKERS,TOT,PC_POP15,A,2018,15.4,
CAN,Canada,SMOKERS,TOT,PC_POP15,A,2011,15.7,
CAN,Canada,SMOKERS,TOT,PC_POP15,A,2012,16.1,
CAN,Canada,SMOKERS,TOT,PC_POP15,A,2013,14.9,
CAN,Canada,SMOKERS,TOT,PC_POP15,A,2014,14,
CAN,Canada,SMOKERS,TOT,PC_POP15,A,2015,13.1,B
CAN,Canada,SMOKERS,TOT,PC_POP15,A,2016,12.5,
CAN,Canada,SMOKERS,TOT,PC_POP15,A,2017,12,
CAN,Canada,SMOKERS,TOT,PC_POP15,A,2018,11.3,
CZE,Czech Republic,SMOKERS,TOT,PC_POP15,A,2011,21.7,
CZE,Czech Republic,SMOKERS,TOT,PC_POP15,A,2012,22.9,
CZE,Czech Republic,SMOKERS,TOT,PC_POP15,A,2013,22.2,
CZE,Czech Republic,SMOKERS,TOT,PC_POP15,A,2014,22.3,
CZE,Czech Republic,SMOKERS,TOT,PC_POP15,A,2015,18.2,
CZE,Czech Republic,SMOKERS,TOT,PC_POP15,A,2016,19.6,
CZE,Czech Republic,SMOKERS,TOT,PC_POP15,A,2017,18.4,
CZE,Czech Republic,SMOKERS,TOT,PC_POP15,A,2018,21.1,
DNK,Denmark,SMOKERS,TOT,PC_POP15,A,2013,17,
DNK,Denmark,SMOKERS,TOT,PC_POP15,A,2017,16.9,
FIN,Finland,SMOKERS,TOT,PC_POP15,A,2011,17.8,
FIN,Finland,SMOKERS,TOT,PC_POP15,A,2012,17,
FIN,Finland,SMOKERS,TOT,PC_POP15,A,2013,15.8,
FIN,Finland,SMOKERS,TOT,PC_POP15,A,2014,15.4,
FIN,Finland,SMOKERS,TOT,PC_POP15,A,2015,17.4,D
FIN,Finland,SMOKERS,TOT,PC_POP15,A,2016,15,D
FIN,Finland,SMOKERS,TOT,PC_POP15,A,2017,13,D
FIN,Finland,SMOKERS,TOT,PC_POP15,A,2018,14,D
FIN,Finland,SMOKERS,TOT,PC_POP15,A,2019,13,
FRA,France,SMOKERS,TOT,PC_POP15,A,2014,28.5,
FRA,France,SMOKERS,TOT,PC_POP15,A,2016,29.4,
FRA,France,SMOKERS,TOT,PC_POP15,A,2017,26.9,
FRA,France,SMOKERS,TOT,PC_POP15,A,2018,25.4,
DEU,Germany,SMOKERS,TOT,PC_POP15,A,2013,20.9,
DEU,Germany,SMOKERS,TOT,PC_POP15,A,2017,18.8,
GRC,Greece,SMOKERS,TOT,PC_POP15,A,2014,27.3,
GRC,Greece,SMOKERS,TOT,PC_POP15,A,2017,35,B
HUN,Hungary,SMOKERS,TOT,PC_POP15,A,2014,25.8,
ISL,Iceland,SMOKERS,TOT,PC_POP15,A,2011,14.3,
ISL,Iceland,SMOKERS,TOT,PC_POP15,A,2012,13.8,
ISL,Iceland,SMOKERS,TOT,PC_POP15,A,2013,11.4,
ISL,Iceland,SMOKERS,TOT,PC_POP15,A,2014,12.6,D
ISL,Iceland,SMOKERS,TOT,PC_POP15,A,2015,10.9,D
ISL,Iceland,SMOKERS,TOT,PC_POP15,A,2016,10.2,D
ISL,Iceland,SMOKERS,TOT,PC_POP15,A,2017,9.4,D
ISL,Iceland,SMOKERS,TOT,PC_POP15,A,2018,8.6,D
ISL,Iceland,SMOKERS,TOT,PC_POP15,A,2019,8.2,D
IRL,Ireland,SMOKERS,TOT,PC_POP15,A,2015,19,B
IRL,Ireland,SMOKERS,TOT,PC_POP15,A,2016,19,
IRL,Ireland,SMOKERS,TOT,PC_POP15,A,2017,18,
IRL,Ireland,SMOKERS,TOT,PC_POP15,A,2018,17,
IRL,Ireland,SMOKERS,TOT,PC_POP15,A,2019,14,
ITA,Italy,SMOKERS,TOT,PC_POP15,A,2011,22.5,
ITA,Italy,SMOKERS,TOT,PC_POP15,A,2012,22.1,
ITA,Italy,SMOKERS,TOT,PC_POP15,A,2013,21.1,
ITA,Italy,SMOKERS,TOT,PC_POP15,A,2014,19.7,
ITA,Italy,SMOKERS,TOT,PC_POP15,A,2015,19.8,
ITA,Italy,SMOKERS,TOT,PC_POP15,A,2016,20,
ITA,Italy,SMOKERS,TOT,PC_POP15,A,2017,19.9,
ITA,Italy,SMOKERS,TOT,PC_POP15,A,2018,19.2,
JPN,Japan,SMOKERS,TOT,PC_POP15,A,2011,20.1,
JPN,Japan,SMOKERS,TOT,PC_POP15,A,2012,20.7,
JPN,Japan,SMOKERS,TOT,PC_POP15,A,2013,19.3,
JPN,Japan,SMOKERS,TOT,PC_POP15,A,2014,19.6,
JPN,Japan,SMOKERS,TOT,PC_POP15,A,2015,18.2,
JPN,Japan,SMOKERS,TOT,PC_POP15,A,2016,18.3,
JPN,Japan,SMOKERS,TOT,PC_POP15,A,2017,17.7,
JPN,Japan,SMOKERS,TOT,PC_POP15,A,2018,17.8,
KOR,Republic of Korea,SMOKERS,TOT,PC_POP15,A,2011,23.2,
KOR,Republic of Korea,SMOKERS,TOT,PC_POP15,A,2012,21.6,
KOR,Republic of Korea,SMOKERS,TOT,PC_POP15,A,2013,19.9,
KOR,Republic of Korea,SMOKERS,TOT,PC_POP15,A,2014,20,
KOR,Republic of Korea,SMOKERS,TOT,PC_POP15,A,2015,17.3,
KOR,Republic of Korea,SMOKERS,TOT,PC_POP15,A,2016,18.4,
KOR,Republic of Korea,SMOKERS,TOT,PC_POP15,A,2017,17.5,
KOR,Republic of Korea,SMOKERS,TOT,PC_POP15,A,2018,17.5,
LUX,Luxembourg,SMOKERS,TOT,PC_POP15,A,2011,16.9,
LUX,Luxembourg,SMOKERS,TOT,PC_POP15,A,2012,16.8,
LUX,Luxembourg,SMOKERS,TOT,PC_POP15,A,2013,15.7,
LUX,Luxembourg,SMOKERS,TOT,PC_POP15,A,2014,15.3,
LUX,Luxembourg,SMOKERS,TOT,PC_POP15,A,2015,15,
LUX,Luxembourg,SMOKERS,TOT,PC_POP15,A,2016,14.9,
LUX,Luxembourg,SMOKERS,TOT,PC_POP15,A,2017,16,
LUX,Luxembourg,SMOKERS,TOT,PC_POP15,A,2018,14.5,
LUX,Luxembourg,SMOKERS,TOT,PC_POP15,A,2019,16.8,
MEX,Mexico,SMOKERS,TOT,PC_POP15,A,2011,10.3,D
MEX,Mexico,SMOKERS,TOT,PC_POP15,A,2012,11.8,D
MEX,Mexico,SMOKERS,TOT,PC_POP15,A,2015,7.6,
MEX,Mexico,SMOKERS,TOT,PC_POP15,A,2017,7.6,D
NLD,Netherlands,SMOKERS,TOT,PC_POP15,A,2011,20.8,
