Country,travel to and from work/study,shopping,sleeping,eating & drinking,participating / attending events,sports,visiting or entertaining friends
Australia,25.01737318,29.02015288,512.3558026,89.06184851,6.004169562,19.01320361,40.00694927
Austria,29.3635491,20.73244611,498.2916227,78.83640556,9.431552,32.07853,81.77063
Belgium,26.35779132,28.59590564,512.8602394,98.51640836,15.36588551,21.01657745,50.47624209
Canada,28.79046237,24.09544792,520,64.81971259,5.605864535,20.99879118,53.47665202
Denmark,23.05063673,26.03090286,488.6075236,119.15341,7.43938497,22.11507243,81.37152146
Estonia,29.42358894,23.9597728,530.0152793,78.99620696,7.861109817,27.47467435,37.6248632
Finland,20.77133,26.1562,508.2611,80.64583,7.714292,37.23085,54.64598
France,22.93091134,22.1051013,512.9746301,132.7571078,14.84222087,11.9611007,55.20107324
Germany,28.3801,32.09046667,498.3815,94.96315,13.52825167,26.43525,60.64695
Greece,24.65034015,16.354267,500.0329348,127.5341086,5.086177522,27.68764789,56.32778834
Hungary,28.54403949,19.2119907,505.896698,101.1299998,5.640700596,12.93167925,35.13341018
Ireland,22.75342,27.56674,491.2542,75.38656,41.72778,20.02075,48.95445
Italy ,21.32923085,27.74272822,513.320886,126.9748547,5.823312555,38.21408598,65.3572068
Japan,43.49296086,24.9289075,442.0209375,93.45421795,,10.22259996,16.91206617
Republic of Korea,56.87544606,13.27159647,471.3507489,116.9425415,4.449313843,27.18858013,42.21591983
Latvia,36.52716624,15.8511479,512.2897606,88.86732095,4.796300826,24.99063128,35.08483167
Lithuania,28.83332432,17.27690228,503.0689384,88.20540498,1.346944277,15.962224,31.78246079
Luxembourg,34.83020874,23.0307687,518.1733573,112.2223274,12.4419955,33.23708205,32.30126548
Mexico,39.062764,14.17935,498.6954,77.00255,7.206197,13.57335,44.15583
Netherlands,31.02805073,28.20249062,502.7763187,114.3081904,6.644918996,22.39999714,72.56185687
New Zealand,23,24,526,80,6,17,69
Norway ,29.73099,20.44092,492.1239,79.37977,8.056627,20.90907,57.0152
Poland,26.85199479,25.02282979,508.9406649,90.71843138,2.81459496,23.24483545,45.13701033
Portugal,25.17482517,15.1048951,505.5104895,111.7762238,10.57342657,12.08391608,43.8041958
Slovenia,24.96532594,17.97503467,501.3037448,85.88072122,4.993065187,31.9556172,61.91400832
Spain,21.43483,25.44376,515.6619,125.5582,9.211836,41.87796,50.7935
Sweden,31.00213173,23.45574331,482.7009868,82.53561762,8.820125106,34.34394508,52.7031881
Turkey,30.66184,13.95561,514.5817,117.5817,2.58051,9.465469,68.12016
United Kingdom,39.16877785,29.4123862,508.110579,79.25217395,7.013407729,19.3623154,47.42831765
United States,21.68437,22.01328,528.0195,62.74767,8.225513,17.94654,43.54368
China,46.96738376,19.98612075,541.6238723,99.93060375,1.998612075,22.98403886,22.98403886
India,32.02269741,11.56841644,528.1413747,83.8551916,4.609205587,5.498704668,73.25753131
South Africa,36.10218,9.480088,553.1417,72.38531,5.107705,5.085051,82.14614
