no,name,addr,long,lat,status
1,상명대학교사범대학부속초등학교,서울특별시 종로구 홍지문2길 1 상명대학교사범대학부속초등학교 ,126.95668870335,37.6007116719408,정좌표
2,서울교동초등학교,서울특별시 종로구 경운동 2번지,126.987721436598,37.5748202158546,정좌표
3,서울대학교사범대학부설초등학교,서울특별시 종로구 대학로64,127.002918159554,37.5777857721477,정좌표
5,서울매동초등학교,서울특별시 종로구 사직로9길 19 서울 매동초등학교,126.967342574071,37.5770650108215,정좌표
7,서울세검정초등학교,서울 종로구 신영동 219-4번지,126.960938388556,37.6032292121827,정좌표
8,서울숭신초등학교,서울특별시 종로구 숭인동 242-1,127.017558729289,37.5718379912973,정좌표
12,서울혜화초등학교,서울특별시 종로구 혜화로 32 ,127.000215916429,37.5891887252742,정좌표
15,동산초등학교,서울특별시 중구 매봉 18길 109 ,127.017137044172,37.5557212001025,정좌표
16,리라초등학교,서울특별시 중구 소파로 2길 7 리라초등학교,126.987979694621,37.5578179273899,정좌표
18,서울남산초등학교,서울특별시 중구 퇴계로22길 17 ,126.987161614532,37.5602018680984,정좌표
19,서울덕수초등학교,서울특별시 중구 덕수궁길 140 ,126.974230991157,37.5682086235573,정좌표
20,서울봉래초등학교,서울특별시 중구 손기정로 73 ,126.965232534162,37.5563820121325,정좌표
24,서울충무초등학교,서울특별시 중구 퇴계로 50길 13 ,127.001553181385,37.5619005330383,정좌표
27,서울금양초등학교,서울특별시 용산구 효창동 126-4,126.961150989673,37.5406422658245,정좌표
28,서울남정초등학교,서울 용산구 원효로2가 64길 ,126.962931293735,37.5351821291724,인근좌표
29,서울보광초등학교,서울특별시 용산구 우사단로 20 ,126.996395045855,37.532547619634,정좌표
30,서울삼광초등학교,서울특별시 용산구 두텁바위로1나길19,126.976196919391,37.5474052360887,정좌표
31,서울서빙고초등학교,서울특별시 용산구 서빙고로 51길 14번지,126.992288340669,37.5220494601012,정좌표
33,서울용산초등학교,서울 용산구 한강대로 57길 33 ,126.971975541383,37.5357026801917,정좌표
34,서울용암초등학교,서울특별시 용산구 용산동2가 녹사평대로 60길 39 ,126.989434353308,37.5453022290815,정좌표
37,서울청파초등학교,서울특별시 용산구 효창원로 228 1-42,126.964870427443,37.5475482376864,정좌표
38,서울한강초등학교,서울특별시 용산구 한강로3가 14길 9 ,126.963105693449,37.5326539036644,인근좌표
39,서울한남초등학교,서울 용산구 한남대로112,127.004357205844,37.5394270766709,정좌표
40,서울후암초등학교,서울특별시 용산구 후암동 339번지,126.982728654641,37.5507464673322,인근좌표
45,서울금북초등학교,서울 성동구 금호동1가 행당로1길 13,127.023426975593,37.5572835578267,정좌표
