"국가별",2015,2016,2017,2018,2019
"아시아",,,,,
"한국",88,87,92,85,83
"이스라엘",116,112,123,111,119
"일본",92,93,94,95,103
"터키",54,48,47,39,39
"북아메리카",,,,,
"캐나다",95,100,105,99,99
"멕시코",56,49,56,53,56
"미국",100,100,100,100,100
"남아메리카",,,,,
"칠레",64,65,72,68,64
"유럽",,,,,
"오스트리아",96,91,102,96,93
"벨기에",98,92,104,98,94
"체코",58,55,66,61,62
"덴마크",124,116,132,120,114
"에스토니아",66,63,73,70,68
"핀란드",109,102,113,107,103
"프랑스",96,90,102,96,93
"독일",91,87,99,92,88
"그리스",75,72,79,74,70
"헝가리",50,49,57,54,52
"아이슬란드",118,139,154,131,128
"아일랜드",108,104,115,110,108
"이탈리아",92,85,94,88,84
"라트비아",-,59,68,65,63
"리투아니아",-,-,-,57,56
"룩셈부르크",108,104,118,111,107
"네덜란드",98,93,105,98,96
"노르웨이",119,122,126,127,119
"폴란드",48,44,53,49,50
"포르투갈",73,70,79,75,72
"슬로바키아",60,56,64,62,66
"슬로베니아",72,68,79,73,72
"스페인",82,79,88,81,78
"스웨덴",110,102,114,104,100
"스위스",146,137,140,136,133
"영국",121,99,109,101,103
"오세아니아",,,,,
"오스트레일리아",115,114,123,110,106
"뉴질랜드",109,113,114,109,104
