Country name ,depression
Afghanistan,9.19
Africa,
Albania,5.11
Algeria,4.12
American Samoa,6.74
Andean Latin America,5.39
Andorra,7.91
Angola,11.97
Anguilla,
Antigua and Barbuda,2.65
Argentina,10.61
Armenia,8.26
Aruba,
Asia,
Australasia,11.08
Australia,11.05
Austria,11.2
Azerbaijan,4.07
Bahamas,3.17
Bahrain,4.23
Bangladesh,6.03
Barbados,3.97
Belarus,19.03
Belgium,14.28
Belize,7.83
Benin,11.14
Bermuda,3.43
Bhutan,5.72
Bolivia,6.41
Bonaire Sint Eustatius and Saba,
Bosnia and Herzegovina,6.85
Botswana,10.01
Brazil,6.09
British Virgin Islands,
Brunei,6.22
Bulgaria,9.48
Burkina Faso,13.21
Burundi,12.62
Cambodia,4.54
Cameroon,14.03
Canada,10.91
Cape Verde,16.77
Caribbean,9.49
Cayman Islands,
Central African Republic,16.93
Central Asia,11.48
Central Europe,11.65
"Central Europe, Eastern Europe, and Central Asia",18.36
Central Latin America,6.23
Central Sub-Saharan Africa,11.99
Chad,11.02
Channel Islands,
Chile,10.14
China,7.21
Colombia,5.53
Comoros,8.32
Congo,14.04
Cook Islands,
Costa Rica,7.8
Cote d'Ivoire,13.86
Croatia,11.06
Cuba,11.29
Curacao,
Cyprus,4.63
Czech Republic,10.77
Democratic Republic of Congo,11.58
Denmark,8.8
Djibouti,8.44
Dominica,4.54
Dominican Republic,8.92
East Asia,7.38
Eastern Europe,24.6
Eastern Sub-Saharan Africa,11.05
Ecuador,9.21
Egypt,5.47
El Salvador,9.8
England,6.87
Equatorial Guinea,9.33
Eritrea,15.71
Estonia,12.74
Ethiopia,9.63
Europe,
Faeroe Islands,
Falkland Islands,
Fiji,9.83
Finland,12.94
France,12.4
French Guiana,
French Polynesia,
Gabon,12.53
Gambia,9.71
Georgia,7.49
Germany,9.92
Ghana,9.7
Gibraltar,
Greece,3.51
Greenland,51.06
Grenada,4.85
Guadeloupe,
Guam,20.57
Guatemala,5.92
Guinea,11.12
Guinea-Bissau,13.59
Guyana,26.07
Haiti,8.55
High SDI,11.38
High-income,11.63
High-income Asia Pacific,16.37
High-middle SDI,8.98
Honduras,4.4
Hong Kong,
Hungary,14.28
Iceland,9.61
India,15.6
Indonesia,3.12
Iran,5.45
Iraq,4.09
Ireland,8.37
Isle of Man,
Israel,5.73
Italy,4.76
Jamaica,3.61
Japan,15.65
Jordan,3.22
Kazakhstan,22.99
Kenya,11.06
Kiribati,26.38
Kuwait,2.49
Kyrgyzstan,10.02
Laos,8.42
Latin America,
Latin America and Caribbean,6.41
Latvia,16.99
Lebanon,4.78
Lesotho,31.72
Liberia,13.21
Libya,8.07
Liechtenstein,
Lithuania,27.99
Low SDI,10.51
Low-middle SDI,11.55
Luxembourg,8.7
Macao,
Macedonia,6.78
Madagascar,10.99
Malawi,12.12
Malaysia,7.85
Maldives,3.35
Mali,6.81
Malta,4.53
Marshall Islands,22.46
Martinique,
Mauritania,6.64
Mauritius,8.31
Mayotte,
Mexico,5.92
Micronesia (country),17.05
Middle SDI,8.69
Moldova,13.64
Monaco,
Mongolia,15.36
Montenegro,9.38
Montserrat,
Morocco,7.15
Mozambique,17.2
Myanmar,5.04
Namibia,11.81
Nauru,
Nepal,8.37
Netherlands,9.17
New Caledonia,
New Zealand,11.3
Nicaragua,5.86
Niger,7.63
Nigeria,7.54
Niue,
North Africa and Middle East,4.72
North America,12.64
North Korea,11.07
Northern Ireland,9.55
Northern Mariana Islands,12.16
Norway,9.27
Oceania,21.06
Oman,2.92
Pakistan,4.45
Palau,
Palestine,3.55
Panama,4.98
Papua New Guinea,23.07
Paraguay,5.75
Peru,3.14
Philippines,6.01
Poland,13.95
Portugal,7.69
Puerto Rico,6.09
Qatar,4.64
Reunion,
Romania,9.16
Russia,25.09
Rwanda,10.95
Saint Barthlemy,
Saint Helena,
Saint Kitts and Nevis,
Saint Lucia,6.9
Saint Martin (French part),
Saint Pierre and Miquelon,
Saint Vincent and the Grenadines,7.22
Samoa,10
San Marino,
Sao Tome and Principe,3.54
Saudi Arabia,2.95
Scotland,10.88
Senegal,12.92
Serbia,12.67
Seychelles,8.02
Sierra Leone,9.88
Singapore,7.33
Sint Maarten (Dutch part),
Slovakia,9.47
Slovenia,14.38
Solomon Islands,16.4
Somalia,9.94
South Africa,11.15
South Asia,13.48
South Korea,20.81
South Sudan,12
Southeast Asia,6.13
"Southeast Asia, East Asia, and Oceania",7.3
Southern Latin America,10.85
Southern Sub-Saharan Africa,13.78
Spain,5.51
Sri Lanka,19.8
Sub-Saharan Africa,10.66
Sudan,5.02
Suriname,24.78
Swaziland,22.32
Sweden,11.08
Switzerland,9.32
Syria,3.08
Taiwan,13.52
Tajikistan,5.75
Tanzania,8.82
Thailand,10.44
Timor,7.37
Togo,12.26
Tokelau,
Tonga,5.97
Trinidad and Tobago,10.12
Tropical Latin America,6.09
Tunisia,3.11
Turkey,3.31
Turkmenistan,8.68
Turks and Caicos Islands,
Tuvalu,
Uganda,11.54
Ukraine,25.62
United Arab Emirates,5.07
United Kingdom,7.36
United States,12.84
United States Virgin Islands,6.3
Uruguay,16.82
Uzbekistan,9.39
Vanuatu,17.7
Vatican,
Venezuela,8.68
Vietnam,7.42
Wales,8.6
Wallis and Futuna,
Western Europe,8.52
Western Sahara,
Western Sub-Saharan Africa,9.5
World,9.98
Yemen,6.01
Zambia,13.06
Zimbabwe,26.39
